--- Men 1500m Official Qualified ---
1. Jordan Stolz (USA) - points
2. Finn Sonnekalb (GER) - points
3. Zhongyan Ning (CHN) - points
4. Kjeld Nuis (NED) - points
5. Joep Wennemars (NED) - points
6. Tim Prins (NED) - points
7. Peder Kongshaug (NOR) - points
8. Kazuya Yamada (JPN) - points
9. Daniele Di Stefano (ITA) - points
10. Hanbin Liu (CHN) - points
11. Taiyo Nonomura (JPN) - points
12. Gabriel Odor (AUT) - points
13. Didrik Eng Strand (NOR) - points
14. Min-Seok Kim (HUN) - points
15. Sander Eitrem (NOR) - points
16. David Larue (CAN) - points
17. Antoine Gélinas-Beaulieu (CAN) - points
18. Motonaga Arito (JPN) - points
19. Hendrik Dombek (GER) - points
20. Alexander Farthofer (AUT) - points
21. Emery Lehman (USA) - points

--- Times Qualifiers ---
22. Valentin Thiebault (FRA) - times
23. Vladimir Semirunniy (POL) - times
24. Casey Dawson (USA) - times
25. Moritz Klein (GER) - times
26. Mathias Vosté (BEL) - times
27. Metoděj Jílek (CZE) - times
28. Wenhao Li (CHN) - times
